,Ticker,Company Name,Country,Sector,Overall ESG RATING,Overall ESG SCORE,Environmental SCORE,Social SCORE,Governance SCORE
96829,MOH,MOTOR OIL (HELLAS) CORINTH REFINERIES SA,GR,"Oil & Gas Refining, Marketing, Transportation & Storage",BBB,4.7,5.5,10.0,2.3
97334,MORN,"MORNINGSTAR, INC",US,Diversified Financials,BBB,5.5,6.7,4.7,5.0
97587,MOS,THE MOSAIC COMPANY,US,Specialty Chemicals,A,6.7,4.8,5.9,6.1
97840,MPC,MARATHON PETROLEUM CORPORATION,US,"Oil & Gas Refining, Marketing, Transportation & Storage",A,6.0,5.0,5.1,5.8
98093,MPW,"MEDICAL PROPERTIES TRUST, INC",US,Real Estate Management & Services,BB,3.2,4.9,3.5,4.8
98346,MPWR,"MONOLITHIC POWER SYSTEMS, INC",US,Semiconductors & Semiconductor Equipment,B,1.8,4.6,4.4,4.7
98599,MRCY,"MERCURY SYSTEMS, INC",US,Aerospace & Defense,AAA,10.0,3.4,8.1,6.4
98852,MRK,"MERCK & CO, INC",US,Pharmaceuticals,A,6.7,7.1,4.8,5.5
98853,MRK,MERCK Kommanditgesellschaft auf Aktien,DE,Pharmaceuticals,AAA,9.7,7.3,6.9,5.2
99358,MRNA,"MODERNA, INC",US,Biotechnology,BB,3.1,5.3,4.1,4.7
99611,MRO,MARATHON OIL CORPORATION,US,Oil & Gas Exploration & Production,BBB,5.5,3.1,5.3,5.6
99612,MRO,MELROSE INDUSTRIES PLC,GB,Industrial Conglomerates,A,7.14,4.4,4.3,7.2
99989,MRTX,Mirati Therapeutics Inc,US,Biotechnology,A,6.6,7.3,5.1,5.0
100242,MRVL,MARVELL TECHNOLOGY GROUP LTD,BM,Semiconductors & Semiconductor Equipment,A,6.7,6.1,4.7,6.4
100243,MRVL,"MARVELL TECHNOLOGY, INC",US,Semiconductors & Semiconductor Equipment,A,6.7,6.1,4.7,6.4
100748,MS,MORGAN STANLEY,US,Investment Banking & Brokerage,AA,8.4,10.0,5.8,4.8
101001,MSA,MSA Safety Incorporated,US,Commercial Services & Supplies,BBB,5.1,8.6,6.5,4.4
101254,MSFT,MICROSOFT CORPORATION,US,Software & Services,AAA,9.8,8.1,6.9,5.5
101507,MSGS,MADISON SQUARE GARDEN SPORTS CORP,US,Media & Entertainment,B,2.1,6.3,5.0,0.7
101760,MSI,"MOTOROLA SOLUTIONS, INC",US,"Technology Hardware, Storage & Peripherals",AA,7.3,3.4,5.5,5.2
102013,MSM,"MSC INDUSTRIAL DIRECT CO, INC",US,Trading Companies & Distributors,BB,4.0,3.1,7.4,3.7
102014,MSM,Massmart Holdings Ltd,ZA,Retail - Food & Staples,A,6.5,3.4,4.7,5.9
102519,MTB,M&T BANK CORPORATION,US,Banks,BB,3.2,1.5,3.5,4.4
102772,MTCH,"MATCH GROUP, INC",US,Interactive Media & Services,B,2.4,6.2,1.9,4.5
102961,MTD,METTLER-TOLEDO INTERNATIONAL INC,US,Health Care Equipment & Supplies,AA,8.2,10.0,6.0,6.6
103214,MTG,MGIC INVESTMENT CORPORATION,US,Banks,A,6.7,5.0,3.4,6.1
103275,MTH,MERITAGE HOMES CORPORATION,US,Real Estate Development & Diversified Activities,A,6.3,5.3,4.9,5.8
103276,MTH,MOTUS HOLDINGS LIMITED,ZA,Retail - Consumer Discretionary,A,6.6,3.0,4.8,7.1
103403,MTN,MTN GROUP LIMITED,ZA,Telecommunication Services,A,6.1,10.0,5.6,4.9
103404,MTN,"VAIL RESORTS, INC",US,Hotels & Travel,AA,8.3,5.4,4.2,6.0
103909,MTZ,"MASTEC, INC",US,Construction & Engineering,A,5.8,5.1,3.4,4.9
103971,MU,"MICRON TECHNOLOGY, INC",US,Semiconductors & Semiconductor Equipment,BBB,5.5,4.6,6.5,5.9
103972,MU,"Micron Memory Japan, GK",JP,Semiconductors & Semiconductor Equipment,BBB,5.5,4.6,6.5,5.9
104477,MUR,MURPHY OIL CORPORATION,US,Oil & Gas Exploration & Production,BB,4.0,2.7,6.1,4.2
104538,MUSA,MURPHY USA INC,US,"Oil & Gas Refining, Marketing, Transportation & Storage",A,7.0,6.2,5.3,5.0
104729,NATI,NATIONAL INSTRUMENTS CORPORATION,US,Software & Services,AA,8.5,4.3,5.6,5.1
104982,NBIX,"NEUROCRINE BIOSCIENCES, INC",US,Biotechnology,BBB,4.8,3.1,5.1,5.0
105235,NCLH,NCL CORPORATION LTD,US,Hotels & Travel,B,2.0,4.7,4.2,3.1
105425,NCNO,nCino Inc,US,Software & Services,A,6.7,4.9,4.4,5.7
105490,NDAQ,"NASDAQ, INC",US,Diversified Financials,BBB,5.1,9.0,2.1,6.2
